Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Voix recues lors de la primaire;Jennifer Grinzinger;Léonard Bender;62cbd6c0-cde4-43b7-8971-dfdac419cf14
Je Mabstiens de repondre a cette question;Michelle Grandjean Böhm;;0b0040eb-6734-42a7-a665-78c2af12cbae
Voix recues lors de la primaire;Lisette Batista, Cilette Cretton, Virginie Gosset, Marion Mabillard, Loise Pignat, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Edouard Carron, Etienne Coquoz, Johann Roduit;9bbf354e-87b0-4c52-8e59-9d35cc56e2ba
Voix recues lors de la primaire;Mara Bruchez, Cilette Cretton, Virginie Gosset, Marion Mabillard, Odile Maury, Véronique Rodriguez, Véronique Zumstein;Edouard Carron, Antoine Conforti, Etienne Coquoz, Tiago Gomez, Johann Roduit;9c4d5b23-4c06-4596-aedc-dd254c53e391
ordre alphabetique;Jennifer Grinzinger;;1b800bcd-eea9-46c1-9356-cdb556e977ff
ordre alphabetique;Marie-Bertrande Duay, Michelle Grandjean Böhm, Loise Pignat, Catherine Rebord;Antoine Conforti, Johann Roduit;cfeec171-097b-4602-9dfd-842234ac4720
Je Mabstiens de repondre a cette question;Marie-Bertrande Duay;;e471f4d4-b2e7-4495-be12-8fc179f5f228
Voix recues lors de la primaire;Marion Mabillard;Léonard Bender;7edcf982-fa93-4d5d-a817-3a4088c430d2
Je Mabstiens de repondre a cette question;Marie-Bertrande Duay, Jennifer Grinzinger;;7159f31c-fa41-4415-8908-0514374e6972
Voix recues lors de la primaire;Cilette Cretton, Jennifer Grinzinger;Léonard Bender, Johann Roduit;0432029c-9790-4f4e-bd54-7c43e5175afb
Voix recues lors de la primaire;Jennifer Grinzinger;Léonard Bender;3fc45279-ffa5-448a-92ed-9505deeb1a50
Je Mabstiens de repondre a cette question;Lisette Batista, Mara Bruchez, Dominique Bugnon, Cilette Cretton, Virginie Gosset, Michelle Grandjean Böhm, Jennifer Grinzinger, Véronique Rodriguez;Léonard Bender, Edouard Carron;6f544426-21bd-4b21-87fb-45ac829d438b
ordre alphabetique;Marie-Bertrande Duay, Mirca Sigrist;;1947266d-4df8-4837-a573-7a3424381045
Voix recues lors de la primaire;Cilette Cretton, Marion Mabillard, Loise Pignat;Pascal Crettenand, Johann Roduit;eed64914-2d2c-43f8-a656-f0783e42b9f3
Je Mabstiens de repondre a cette question;Marion Mabillard;Edouard Carron;d77e091b-0d62-4e5a-b486-54e577733a83
ordre alphabetique;Marine Addy, Mara Bruchez, Cilette Cretton;Antoine Conforti;6c28240c-1026-42ce-898f-3978933165c3
representativite inverse du Grand Conseil actuel;Marine Addy, Mara Bruchez, Cilette Cretton, Mirca Sigrist, Véronique Zumstein;Antoine Conforti, Johann Roduit;9207fd6a-f883-4229-8e78-e10f4c50eb08
Je Mabstiens de repondre a cette question;Marion Mabillard;;28776872-0a56-494d-814c-ef7bb4a1faec
Tirage au sort;Marine Addy, Mara Bruchez, Cilette Cretton, Marie-Bertrande Duay, Michelle Grandjean Böhm, Jennifer Grinzinger, Odile Maury, Loise Pignat, Véronique Rodriguez;Léonard Bender, Edouard Carron, Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Tiago Gomez, Johann Roduit, Laurent Salvisberg;37c8693b-0e84-47f5-81a9-6c8ed2d29c0a
Voix recues lors de la primaire;Marion Mabillard;;87045fed-3ab5-4d66-9bfd-b9e298bd3d94
Je Mabstiens de repondre a cette question;Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Mirca Sigrist;Edouard Carron, Johann Roduit;16268e29-9fca-48bb-a359-a3c17c2361a0
ordre alphabetique;Jennifer Grinzinger, Marion Mabillard;Léonard Bender;5f62228b-fc49-4110-a240-f3ab7ab3e0c6
ordre alphabetique;Marie-Bertrande Duay, Marion Mabillard, Loise Pignat, Catherine Rebord, Mirca Sigrist;Léonard Bender, Edouard Carron, Johann Roduit;8f6acc6c-d11d-4cc6-be34-67585cec0e71
representativite inverse du Grand Conseil actuel;Odile Maury, Mirca Sigrist;Léonard Bender;dccc84cb-e152-4d22-bbae-6cc175a14588
Tirage au sort;Mara Bruchez, Cilette Cretton;;266ccb07-2703-477c-9c2d-847f4b3ac9c8
ordre alphabetique;Lisette Batista, Marion Mabillard, Véronique Rodriguez, Mirca Sigrist;Edouard Carron, Tiago Gomez, Johann Roduit;9c182775-b264-4a5d-9448-52a9c3172f03
Voix recues lors de la primaire;Marie-Bertrande Duay;;e74e983f-385f-4e65-8e04-137b3135cd98
ordre alphabetique;Cilette Cretton;Antoine Conforti;412b7eea-96ba-42ab-9cc9-53a69107174c
ordre alphabetique;Cilette Cretton, Virginie Gosset, Michelle Grandjean Böhm, Jennifer Grinzinger, Marion Mabillard;Léonard Bender, Edouard Carron, Antoine Conforti, Tiago Gomez, Johann Roduit, Laurent Salvisberg;aa6eeec1-53c3-404e-ae27-8e669a4650e3
Voix recues lors de la primaire;Jennifer Grinzinger;Léonard Bender;80e8feec-0349-4c6c-bfbf-751092f2e668
Tirage au sort;Marine Addy, Lisette Batista, Mara Bruchez, Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Catherine Rebord, Mirca Sigrist, Véronique Zumstein;Edouard Carron, Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Tiago Gomez, Johann Roduit, Laurent Salvisberg;acf3c2fc-131e-4b2f-a6ca-82580d895d30
Tirage au sort;Virginie Gosset, Véronique Zumstein;Léonard Bender, Johann Roduit;491cd002-dc1e-4b4a-bba2-cf600b6ff132
Voix recues lors de la primaire;Mara Bruchez, Loise Pignat, Mirca Sigrist, Véronique Zumstein;;0d15f4b1-c698-46ed-bf3c-fddd38cde09a
Tirage au sort;Lisette Batista, Cilette Cretton, Loise Pignat, Véronique Rodriguez;Antoine Conforti, Etienne Coquoz, Tiago Gomez, Laurent Salvisberg;5751b55f-1dc7-429b-af9b-ceba3a1c1a8a
Tirage au sort;Lisette Batista, Virginie Gosset, Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Catherine Rebord, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Edouard Carron, Johann Roduit;73f65454-b2c6-4249-b2e0-95498aa95279
Voix recues lors de la primaire;Loise Pignat;;8ba8ae08-119c-4d23-bfad-3e6334804f4f
ordre alphabetique;Michelle Grandjean Böhm, Loise Pignat, Véronique Rodriguez;Edouard Carron, Johann Roduit;42634d5b-0807-41f4-aa32-eef0fe4efc06
Voix recues lors de la primaire;Marie-Bertrande Duay;;ef307a43-bd5b-4382-a0ca-27f1cd18bb6b
Voix recues lors de la primaire;Michelle Grandjean Böhm, Loise Pignat, Véronique Rodriguez;Léonard Bender, Edouard Carron, Etienne Coquoz;57e94099-e057-46ed-994c-33c328226f58
ordre alphabetique;Marine Addy, Mara Bruchez, Marion Mabillard, Loise Pignat, Mirca Sigrist;Edouard Carron, Antoine Conforti, Etienne Coquoz;cdc8b205-fb1a-4f11-84d1-baa54a70512e
Voix recues lors de la primaire;;Edouard Carron;cd680c7f-8e65-4e36-8c75-c0dccb268991
ordre alphabetique;Virginie Gosset, Jennifer Grinzinger;Pascal Crettenand, Johann Roduit;6e1fb99b-db19-41f2-8e76-2e8d4467696a
Tirage au sort;Mara Bruchez, Cilette Cretton, Marie-Bertrande Duay, Jennifer Grinzinger;Etienne Coquoz, Tiago Gomez, Johann Roduit;48940bf0-a522-40c4-8a77-f19ae34c509a
ordre alphabetique;Cilette Cretton, Marie-Bertrande Duay, Michelle Grandjean Böhm, Jennifer Grinzinger;Léonard Bender, Antoine Conforti, Johann Roduit;de377e34-6a16-481a-9781-56813ae64638
Voix recues lors de la primaire;Cilette Cretton, Michelle Grandjean Böhm, Jennifer Grinzinger, Catherine Rebord, Mirca Sigrist;Léonard Bender, Edouard Carron, Tiago Gomez, Johann Roduit;c415eb64-d623-4830-a24f-d9cfc50304c2
Voix recues lors de la primaire;Cilette Cretton, Marion Mabillard, Loise Pignat;Léonard Bender, Pascal Crettenand, Johann Roduit;6bc440d6-cfcc-4156-ad20-8624132e070a
Voix recues lors de la primaire;Mara Bruchez, Cilette Cretton, Michelle Grandjean Böhm, Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Véronique Rodriguez, Mirca Sigrist, Véronique Zumstein;Léonard Bender, Edouard Carron, Antoine Conforti, Tiago Gomez, Johann Roduit;9b403987-7425-47b0-8f59-4414108ec2ad
Voix recues lors de la primaire;Marion Mabillard;;ad7bcdee-4a98-4a47-9c2d-91c21271440c
representativite inverse du Grand Conseil actuel;Marion Mabillard;;89a2ac23-9d3c-466a-aa62-9d0ebfcc4e1f
Tirage au sort;Marion Mabillard, Mirca Sigrist;Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Johann Roduit;bf5c07e1-ff21-4e00-86ca-b678191bdf54
Voix recues lors de la primaire;Marine Addy, Mara Bruchez;Antoine Conforti;cadcf6d1-9369-4ae9-abf5-5eda29207701
Voix recues lors de la primaire;Jennifer Grinzinger, Loise Pignat, Véronique Rodriguez;Johann Roduit;d054134c-af86-4d1a-bac7-8c8a5f8bfc8d
representativite inverse du Grand Conseil actuel;Marion Mabillard;Johann Roduit;0df3311d-1f51-44f0-a300-70077c078761
Je Mabstiens de repondre a cette question;Mirca Sigrist;;26517f26-249e-4c44-bb26-d1c9a9ce3403
representativite inverse du Grand Conseil actuel;Marine Addy, Lisette Batista, Mara Bruchez, Cilette Cretton, Marie-Bertrande Duay, Michelle Grandjean Böhm, Catherine Rebord, Mirca Sigrist, Véronique Zumstein;Léonard Bender, Edouard Carron, Antoine Conforti, Tiago Gomez, Laurent Salvisberg;730000ad-e4b1-45fd-a6e5-b2b579645813
Tirage au sort;Marine Addy, Cilette Cretton, Jennifer Grinzinger, Odile Maury;Léonard Bender, Antoine Conforti, Pascal Crettenand, Johann Roduit;c4380e8c-7a65-4d9f-ae23-7f065346ca91
Je Mabstiens de repondre a cette question;Jennifer Grinzinger;;7d504cce-69a6-4386-bc14-fa9fa2009aae
Tirage au sort;Marion Mabillard, Mirca Sigrist;Tiago Gomez;f4b1a092-922b-497b-81e0-d1bb926bad8e
Tirage au sort;Cilette Cretton, Virginie Gosset, Michelle Grandjean Böhm, Jennifer Grinzinger;Léonard Bender, Edouard Carron;17635667-6c01-46d1-b724-018baecec5bc
Voix recues lors de la primaire;Michelle Grandjean Böhm;Pascal Crettenand;761197c1-f5b8-465f-ba8d-6d2ce03acdd4
Je mabstiens de repondre a cette question;Marion Mabillard;;305e7b80-6f05-4b38-97d9-a14aad04e0ee
ordre alphabetique;Loise Pignat;Johann Roduit;e405bfb7-034d-4ab8-9b04-4c5bdd28de39
representativite inverse du Grand Conseil actuel;Cilette Cretton, Jennifer Grinzinger, Loise Pignat;Léonard Bender, Edouard Carron, Antoine Conforti, Pascal Crettenand, Tiago Gomez, Johann Roduit;2e4c9cec-5ceb-4058-9342-42410f8e956c
Tirage au sort;;Edouard Carron;3abd52b5-0d51-4d09-a197-36959215fdfd
Voix recues lors de la primaire;Mara Bruchez, Cilette Cretton, Michelle Grandjean Böhm, Jennifer Grinzinger, Loise Pignat, Mirca Sigrist, Véronique Zumstein;Léonard Bender, Johann Roduit;8283b56c-4f70-445b-bb99-8020fe6cd742
Tirage au sort;Mara Bruchez, Cilette Cretton, Michelle Grandjean Böhm, Jennifer Grinzinger, Catherine Rebord, Mirca Sigrist, Véronique Zumstein;Léonard Bender, Antoine Conforti, Etienne Coquoz, Pascal Crettenand, Johann Roduit;8c2afb23-39a7-42fa-94ec-aa9921995bbe
Voix recues lors de la primaire;Mirca Sigrist;Léonard Bender;ad3eff59-703b-4199-9967-072e33eed820
Voix recues lors de la primaire;Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Véronique Rodriguez, Mirca Sigrist;Léonard Bender, Johann Roduit;be18d91b-2356-4e37-9a38-c54daefa33ec
Je Mabstiens de repondre a cette question;Michelle Grandjean Böhm;Antoine Conforti;219ad451-6868-4d85-936f-dd5c230dbcff
Voix recues lors de la primaire;Marie-Bertrande Duay, Loise Pignat, Catherine Rebord, Mirca Sigrist, Véronique Zumstein;Léonard Bender, Antoine Conforti;4f85e97a-9b1f-45bb-8909-7c68f59c597c
Voix recues lors de la primaire;Cilette Cretton, Marie-Bertrande Duay, Virginie Gosset, Michelle Grandjean Böhm, Jennifer Grinzinger, Marion Mabillard, Loise Pignat, Véronique Rodriguez, Véronique Zumstein;Léonard Bender, Edouard Carron, Antoine Conforti, Etienne Coquoz, Tiago Gomez, Johann Roduit;e81de7e9-0b6d-43b4-9aa5-532e9bb5dabb
ordre alphabetique;Marine Addy, Mara Bruchez, Cilette Cretton;Antoine Conforti;4baace13-94e8-41d9-9721-4924b0004e76
representativite inverse du Grand Conseil actuel;Marion Mabillard;;3242e3ad-37b9-4755-850c-276a4793c1c7
ordre alphabetique;Véronique Zumstein;Léonard Bender;3437ec70-5af4-4f76-8e09-cbef6cce0cca
